,cod_sed,secretaria,codigo_institucion,nombre_institucion,licencia,nit,cod_dpto,departamento,cod_mpio,municipio,localidad,barrio,direccion,telefono,correo_electronico,pagina_web,naturaleza,nombre_representante,certificado_calidad,numero_certificacion,norma,entidad_emisora,estado_certificacion,fecha_otorgamiento,longitud,latitud,año_corte,mes_corte
10,3781,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CÓRDOBA,7046,"CENTRO DE ESTUDIOS TÉCNICOS ""CEPRODENT""",862,900350585-2,23,CÓRDOBA,23672,SAN ANTERO,,,INSTITUCION EDUCATIVA JULIO C. MIRAMDA,3126249064,ceprodentmonteria@yahoo.com,,PRIVADA,FERNANDOBITTAR CURE,NO,,,,,,,,2020,11
11,4841,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE YOPAL,6829,FUNDACION TECNICA DE COLOMBIA,0798,844002917-1,85,CASANARE,85001,YOPAL,,COROCORA,CALLE 13 No. 16 - 08,6323232,fcasanare@hotmail.com,,PRIVADA,OSCAR DEMETRIOPLATA SERRANO,NO,,,,,,,,2020,11
12,3766,SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ,9131,INSTITUCION DE EDUCACION PARA EL TRABAJO Y EL DESARROLLO HUMANO CORPOIBEROAMERICANA S.A.S,06-004-2019,901139908-9,11,BOGOTÁ D.C.,11001,BOGOTÁ,TUNJUELITO,VENECIA,CALLE 45A SUR No. 53A-39,3024544073,direccion@corpoiberoamericana.edu.co,www.corpoiberoamericana.edu.co,PRIVADA,YOLANDA DEHAQUIZ RONCANCIO,NO,,,,,,,,2020,11
13,3799,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PASTO,9498,POLITÉCNICO ANDINO DE COLOMBIA SAS,4094,800208838-1,52,NARIÑO,52001,PASTO,,,CALLE 20 No. 26-07,3117340676,politecnicoandinodecolombia@gmail.com,,PRIVADA,CRISTIAN ALBERTORODRÍGUEZ ZAMBRANO,NO,,,,,,,,2020,11
14,3818,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE CALI,2680,CORPORACION UNIVERSAL DE LOS ANDES-CUA,4143.2.21.3796,16792090-9,76,VALLE DEL CAUCA,76001,CALI,,Tequendama,CARRERA 40 NO 5A-32,6836060,co.planeacion@cua.edu.co,www.cua.edu.co,PRIVADA,Ruben DarioNarvaez Vanegas,SI,20.037-3,NTC 5555,CELAC,RENOVADA,01/07/2020 12:00:00 AM,,,2020,11
15,3781,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CÓRDOBA,6340,"INSTITUTO DE EDUCACION PARA EL TRABAJO  Y EL DESARROLLO HUMANO ""SISTEC""",089,900083958-0,23,CÓRDOBA,23466,MONTELÍBANO,,,CALLE 15N3-41,7626619,ALBA_CAL@HOTMAIL.COM,,PRIVADA,ALVARO BERROCAL CUEVAS,NO,,,,,,,,2020,11
16,3810,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE BARRANCABERMEJA,9230,INSTITUTO TÉCNICO QUALlTA S.A.S,2249,901050502-8,68,SANTANDER,68081,BARRANCABERMEJA,,Recreo,Calle 45a No. 23 - 51,3132655265,eliananangarita@gmail.com,,PRIVADA,ELlANAANGARITA JULIO,NO,,,,,,,,2020,11
17,3801,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL NORTE DE SANTANDER,7563,CAPACITACIONES INTELCOC INSTITUTO TECNICO LABORAL COMPETITIVO DE COLOMBIA,RESOLUCION No 00705,60441256-9,54,NORTE DE SANTANDER,54518,PAMPLONA,,CENTRO,CARRERA 6 No 5 - 09,5683683,capacitacionesintelcoc2012@gmail.com,www.capacitacionesintelcoc.com,PRIVADA,MARIA CENAIDA FUENTES ARCHILAFUENTES ARCHILA,NO,,,,,,,,2020,11
18,4909,SECRETARÍA DE EDUCACIÓN DISTRITO BARRANQUILLA,8277,UNIVERSIDAD UNIVERSIDAD SIMON BOLIVAR,1318,890104633-9,8,ATLÁNTICO,8001,BARRANQUILLA,,PRADO,CARRERA 59 No. 59 - 92,3158966023,splata@unisimonbolivar.edu.co,,PRIVADA,JOSE EUSEBIOCONSUEGRA BOLIVAR,NO,,,,,,,,2020,11
19,3767,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL BOLÍVAR,9469,"INSTITUTO DE ENSEÑANZA Y CAPACITACIÓN TÉCNICA DE LA SABANA ""IDECTSA"" - MONTECRISTO",3558,2759165,13,BOLÍVAR,13458,MONTECRISTO,,4 de Noviembre,Calle Arriba,3106551478,idectasaeducar2013@hotmail.com,,PRIVADA,AUGUSTO EMIROMESTRA ZAPA,NO,,,,,,,,2020,11
20,3793,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MAICAO,8715,CENTRO IBEROAMERICANO DE ESTUDIOS TÉCNICO LABORAL,1744,825002029-5,44,LA GUAJIRA,44430,MAICAO,,SAN JOSE,CALLE 17 No 10-69,3113892226,cibetecl@Gmail.com,,PRIVADA,ANDRISOJEDA MOJICA,NO,,,,,,,,2020,11
21,4911,SECRETARÍA DE EDUCACIÓN DISTRITO SANTA MARTA,6635,INSTITUTO DARSEINI,0511,900323362-2,47,MAGDALENA,47001,SANTA MARTA,,CENTRO,CALLE 21 No. 5-11,4233216,leisby_10@hotmail.com,,PRIVADA,LEISBY ESTHERPEREZ CASTELLON,NO,,,,,,,,2020,11
22,3806,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PEREIRA,7362,RODRIGO ARENAS BETANCURT,468,816001947-4,66,RISARALDA,66001,PEREIRA,,CUCHILLA DE LOS CASTRO CUBA,CALLE 80 36B-30,3208820,RODRIGOARENAS@PEREIRAEDUCA.GOV.CO,,OFICIAL,RAFAEL ESTRADA BUENO,NO,,,,,,,,2020,11
23,3822,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PALMIRA,1584,CENTRO DE ASISTENCIAS TÉCNICAS EMPRESARIALES ¨CENTRA 2000 EAT¨,0890,8150027493,76,VALLE DEL CAUCA,76520,PALMIRA,,LA TRINIDAD,CARRERA 24 #31-52,3188481685,centra2000palmira@hotmail.com,www.centra2000palmira.net,PRIVADA,MARIOCABAL ALFONSO,NO,,,,,,,,2020,11
24,3766,SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ,9152,UNIPANAMERICANA FUNDACION UNIVERSITARIA PANAMERICANA,PJ23635,860.506.140-6,11,BOGOTÁ D.C.,11001,BOGOTÁ,TEUSAQUILLO,TEUSAQUILLO,CALLE32 No. 17-30,3380666,jlmaciasr@unipanamericana.edu.co,www.unipanamericana.edu.co,PRIVADA,RICARDO AMORTEGUI PERILLA,SI,FT-CER728684,NTC 5555,ICONTEC,PRIMERA VEZ,11/22/2019 12:00:00 AM,-74.073096,4.621042,2020,11
25,3765,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE SOLEDAD,9477,INSTITUTO TÈCNICO NETEN,0445,63303581-8,8,ATLÁNTICO,8758,SOLEDAD,,VILLA ANGELITA,CALLE 7C #13A -82,3005564419,FUNDAIDEANDO@GMAIL.COM,,PRIVADA,NANCYSANTODOMINGO GUARIN,NO,,,,,,,,2020,11
26,3808,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL SANTANDER,1674,INSTITUTO ANDINO,9722,90032700,68,SANTANDER,68077,BARBOSA,,,CALLE 7 NO.5-149,3208344662,andinobarbosa@gmail.com,,PRIVADA,MARIA CRISTINARANGEL MORENO,NO,,,,,,,,2020,11
27,3822,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PALMIRA,9258,INSTITUTO BASIS,3072,2966375-6,76,VALLE DEL CAUCA,76520,PALMIRA,,ZONA URBANA DE PALMIRA VALLE,CALLE 29 # 31-63,CENTRO,colegiobasis1997@hotmail.com,,PRIVADA,PAULA ANDREAGARCIA MARTINEZ,NO,,,,,,,,2020,11
28,3758,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL DE ANTIOQUIA,5915,FUNDACIÓN ESCUELA COLOMBIANA DE MERCADOTECNIA - ESCOLME,007033,890909377-3,5,ANTIOQUIA,5761,SOPETRÁN,,Parque Principal,Calle 9 No. 7-13,8541622,cmvillegasv@escolme.edu.co,www.escolme.edu.co,PRIVADA,CARLOS MARIO VILLEGAS VELÁSQUEZ,NO,,,,,,,,2020,11
29,10850,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE FACATATIVÁ,4535,ESCUELA COLOMBIANA DE BELLEZA,1045,900300348-1,25,CUNDINAMARCA,25269,FACATATIVÁ,,VERSALLES,CALLE 8 No 4A-21,8425735,escuelacolombianadebelleza@hotmail.com,,PRIVADA,JOHANA MARCELATORRES SANCHEZ,NO,,,,,,,,2020,11
30,3766,SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ,6175,INSTITUCION EDUCATIVA TULIO OSPINA,030003,19087672,11,BOGOTÁ D.C.,11001,BOGOTÁ,SANTA FE,CENTRO,CALLE 23 No. 6-07 INTERIOR 15  LOCAL 20,7009253,info@redospina.com,,PRIVADA,JUAN CARLOSOSPINA ARANGO,NO,,,,,,,,2020,11
31,3819,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE BUENAVENTURA,3593,"INSTITUTO SUPERIOR DE PROFESIONALES DEL VALLE DEL CAUCA ""INPROVALLEC S.A""",Nº 0905,835000838-4,76,VALLE DEL CAUCA,76109,BUENAVENTURA,,CENTRO,Carrera 2ª Nº 2-04 Altos de Carioca,2413845,jetobo@hotmail.com,,PRIVADA,EDMUNDO ANTONIOMOSQUERA,NO,,,,,,,,2020,11
32,3771,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE DUITAMA,7303,TELL ME THE WAY,444,900634049-6,15,BOYACÁ,15238,DUITAMA,,SOLANO,CALLE 20A nO.12-14,7602560,info@tellmetheway.net,www.tellmetheway.net,PRIVADA,YESMIRARUSSI MORALES,SI,SG2019002751 J,NTC 5555,COTECNA,PRIMERA VEZ,02/01/2019 12:00:00 AM,,,2020,11
33,3797,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE VILLAVICENCIO,3605,INDECO,07,6655927-2,50,META,50001,VILLAVICENCIO,,PORFÍA,CALLE 64 SUR NO.44-03,6694636,VARGAS12@HOTMAIL.COM,,PRIVADA,FERNANDOVARGAS CARRILLO,NO,,,,,,,,2020,11
34,3789,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CHOCÓ,9426,CENTRO TÉCNICO DEL CHOCÓ - CETCHO,3517,11798781-9,27,CHOCO,27450,MEDIO SAN JUAN,,MEDIO SAN JUAN,CORREGIMIENTO BOCA DE PEPE,3205655087,cetcholdta@gmail.com,,PRIVADA,JUAN ELEUTERIOURRUTIA PALACIOS,NO,,,,,,,,2020,11
35,4382,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE QUIBDÓ,8484,CEDENORTE INSTITUCION TECNICA - SECCIONAL QUIBDO,0411,1040180572,27,CHOCO,27001,QUIBDÓ,,SILENCIO,CRA 8 N° 30-70,3233681241,idurango@cedenorte.edu.co,www.cedenorte.edu.co,PRIVADA,ZENAIDA ANDREA CAÑAS TABARES,NO,,,,,,,,2020,11
36,4910,SECRETARÍA DE EDUCACIÓN DISTRITO CARTAGENA,2880,ACADEMIA DE BELLEZA ESTETICA FRANCESA,0078,8060140116,13,BOLÍVAR,13001,CARTAGENA,,El Libano,"Avenida Pedro Heredia, Sector El Libano, calle 31 No 49 A 85",6699910,academiaesteticafrancesacartagena@hotmail.com,,PRIVADA,MARITZA MORALES PEREZ,NO,,,,,,,,2020,11
37,3766,SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ,3707,ALIANZA COLOMBO FRANCESA,010143,860010904-6,11,BOGOTÁ D.C.,11001,BOGOTÁ,USAQUEN,CEDRITOS,AV CARRERA 19 No. 134-81,6152522,adma@alianzafrancesa.org.co,www.alianzafrancesa.org.co,PRIVADA,BRUNO SIMONIN,SI,FT-CER577683,NTC 5555,ICONTEC,PRIMERA VEZ,12/29/2017 12:00:00 AM,,,2020,11
38,4909,SECRETARÍA DE EDUCACIÓN DISTRITO BARRANQUILLA,7774,CORPORACION EDUCATIVA CHACON COECH,03683,5549663,8,ATLÁNTICO,8001,BARRANQUILLA,,,CRA 52 No. 61 - 102,3593247,maria.eugenia.chacon@hotmail.com,,PRIVADA,LUIS ARTUROCHACON FAJARDO,NO,,,,,,,,2020,11
39,3799,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PASTO,8803,CENTRO TÉCNICO EDUCATIVO SAGRADO CORAZÓN DE MARÍA - CESCOM,0911,27.087.154-8,52,NARIÑO,52001,PASTO,,Centro,Calle 15 No. 27-80,3232891425,jjairocm@yahoo.es,,PRIVADA,Luisa Alejandra Narváez Chaves,NO,,,,,,,,2020,11
40,3798,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL NARIÑO,7099,CENTRO DE ESTUDIOS PROFESIONALES ANDINO,Resolución 3729,12978177-6,52,NARIÑO,52399,LA UNIÓN,,Niño Dios,Cra. 1ª No. 18-13,3102154149,andinocep@hotmail.com,www.andino.edu.co,PRIVADA,Bernardo CayetanoVillota,NO,CO242074,NTC 5555,BUREAU VERITAS,VENCIDA,05/04/2015 12:00:00 AM,-77.131816,1.605332,2020,11
41,3792,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL LA GUAJIRA,5634,"INSTITUTO NACIONAL CENTRO DE SISTEMAS ""SYSTEM CENTER"" - SAN JUAN",1950,900492668-4,44,LA GUAJIRA,44650,SAN JUAN DEL CESAR,,Norte,Calle 11 No. 18-104,3157076818,systemcentersanjuan@gmail.com,,PRIVADA,WILLIAMCORREDOR GOMEZ,NO,,,,,,,,2020,11
42,3794,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL MAGDALENA,6424,CORPORACIÓN EDUCATIVA PARA EL TRABAJO Y EL DESARROLLO DE LA COSTA ATLÁNTICA C-EDUCA,140,85468941,47,MAGDALENA,47288,FUNDACIÓN,,CENTRO,CALLE 2 No 11-43,4210136,C-EDUCA@HOTMAIL.COM,WWW.C-EDUCA.JIMDO.COM,PRIVADA,ABRAHAM ALBERTOALVARADO GALVAN,NO,,,,,,,,2020,11
43,3786,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE FUSAGASUGÁ,1783,"FUNDACION DE EDUCACION  EN SALUD MARIE POUSSEPIN "" FORMASALUD""",000998,808001437-0,25,CUNDINAMARCA,25290,FUSAGASUGÁ,,CENTRO,CARRERA 5  No.8-65,8732397,formasaludfusa@presantafe.com.co,,PRIVADA,MARIA DOLORESMORENO FAJARDO,NO,,,,,,,,2020,11
44,3773,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CALDAS,9602,EMPRESA DE EDUCACIÓN ISI S.A.S,2648-6,901325814-2,17,CALDAS,17614,RIOSUCIO,,Barrio 20 Julio - Santa Monica,CARRERA 6 N° 13-64,3219815308,maoitl@hotmail.com,www.isifuturo.com,PRIVADA,MAURICIOVASQUEZ OSPINA,NO,,,,,,,,2020,11
45,3779,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CESAR,7322,ESCUELA DE EDUCACION DE COLOMBIA ESESCO - ASTREA,006060,824003151-7,20,CESAR,20032,ASTREA,,,CALLE 7 N° 3-13,3148171309,astrea.esesco@gmail.com,esesco.edu.co,PRIVADA,ANTONIO ELIASORTIZ ALQUERQUE,NO,,,,,,,,2020,11
46,4841,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE YOPAL,8449,INSTITUCION DE EDUCACIÓN PARA EL TRABAJO Y DESARROLLO HUMANO MUNDO STILOS,1468,47429833-2,85,CASANARE,85001,YOPAL,,LOS HELECHOS,CARRERA 18#23-57,3114751193,eudtorres@hotmail.com,,PRIVADA,EUDOCIATORRES SANCHEZ,NO,,,,,,,,2020,11
47,3777,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CAUCA,6097,ESCUELA DE FORMACIÓN TÉCNICA LABORAL SANTANDER,10829,32757585-2,19,CAUCA,19698,SANTANDER DE QUILICHAO,,Olaya Herrera - Santander de Quilchao,Carrera 10 # 8-05,8295386,yopacheco72@hotmail.com,,PRIVADA,YOHANA DE JESUSPACHECO NARVAEZ,NO,,,,,,,,2020,11
48,3808,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL SANTANDER,5870,CORPORACION UNIDADES TECNICAS DE COLOMBIA - UTC,020535,900192626-8,68,SANTANDER,68655,SABANA DE TORRES,,BUENOS AIRES,Carrera 15 No.10-63,6596037,director@utc.edu.co,www.utc.edu.co,PRIVADA,DEIBY EDUARDO RODRIGUEZ PEREZ,NO,,,,,,,,2020,11
49,3801,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL NORTE DE SANTANDER,9306,IETDH INSTITUTO TECNICO LABORAL Y EMPRESARIAL COMFANORTE PAMPLONA,002838,890500516-3,54,NORTE DE SANTANDER,54518,PAMPLONA,,CENTRO,CARRERA 5 # 3-80,5687573,uiscpamplona@comfanorte.com.co,www.comfanorte.com.co,PRIVADA,CLAUDIA PATRICIAGUTIERREZ HERNANDEZ,NO,,,,,,,,2020,11
50,3759,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MEDELLÍN,9099,CEDENORTE INSTITUCIÓN TÉCNICA SECCIONAL MEDELLÍN,201850083655,9012041391,5,ANTIOQUIA,5001,MEDELLÍN,MEDELLIN,,CALLE 50 N° 54 - 32,604 60 07,hlambrano@cedenorte.edu.co,,PRIVADA,HUMBERTO JAIMELAMBRAÑO MÉNDEZ,NO,,,,,,,,2020,11
51,3814,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE SINCELEJO,4505,CORPORACIÓN BIOESTETICA CENTRO DE ENSEÑANZA,4987,33172139 - 2,70,SUCRE,70001,SINCELEJO,,,CALLE 24 N° 18 - 72 CUARTO PISO EDIFICIO SANDRA,2764443 EX 2129,bio_estetica2006@hotmail.com,,PRIVADA,MARIA EUGENIAHERRERA DE POLO,SI,FT-CER356030,NTC 5555,ICONTEC,RENOVADA,12/19/2014 12:00:00 AM,,,2020,11
52,7609,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE RIONEGRO,8901,UNIVERSIDAD CATÓLICA DE ORIENTE - UCO,2650,890984746-7,5,ANTIOQUIA,5615,RIONEGRO,,Santa Ana,CARRERA 46 No. 40B - 50,5316380,uco@uco.edu.co,www.uco.edu.co,PRIVADA,DARIO DEL SOCORROGOMEZ ZULUAGA,NO,,,,,,,,2020,11
53,3766,SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ,8930,INSTITUCION DE EDUCACION PARA EL TRABAJO Y EL DESARROLLO HUMANO KUEPA SEDE RESTREPO,15-022,900241770-1,11,BOGOTÁ D.C.,11001,BOGOTÁ,ANTONIO NARIÑO,RESTREPO,Carrera 19 # 20 - 21 sur,2120282,asesor.educativo8@kuepa.com,https://www.kuepa.com/co,PRIVADA,JORGE LUIS GARCIA GARZON,NO,,,,,,,,2020,11
54,3766,SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ,1378,INSTITUTO DE VENTAS Y MERCADEO PEDRO H MORALES,2134,860352327-3,11,BOGOTÁ D.C.,11001,BOGOTÁ,TEUSAQUILLO,TEUSAQUILLO,CALLE 31a NO° 16-23,3105702188,hmorales@grupocima.org,www.grupocima.co,PRIVADA,PEDROMORALES SATIZABAL,NO,,,,,,,,2020,11
55,10930,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE ZIPAQUIRÁ,6387,"INSTITUTO EDUCATIVO PARA EL DESARROLLO HUMANO,   HUMANARTE",402,20424175-3,25,CUNDINAMARCA,25899,ZIPAQUIRÁ,,ALGARRA I,CARRERA 10 A   6 -09,8525682  312413,humanarte09@yahoo.es,,PRIVADA,CESAR ORLANDORODRIGUEZ,NO,,,,,,,,2020,11
56,3766,SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ,4771,CORPORACION TECNOLOGICA EMPRESARIAL-KENNEDY,1695,830098907-7,11,BOGOTÁ D.C.,11001,BOGOTÁ,KENNEDY,PASTRANITA PRIMER SECTOR,CARRERA 80 NO. 49B 29 SUR,2649822,directorkennedy@corpoempresarial.edu.co,,PRIVADA,LUZ HELENA ARANGO RODRIGUEZ,NO,,,,,,,,2020,11
57,3765,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE SOLEDAD,9277,CORPORACIÓN EDUCATIVA TÉCNICA DE COLOMBIA CORPETEC,0157,802018480-0,8,ATLÁNTICO,8758,SOLEDAD,,ANTONIO NARIÑO,CALLE 50 # 14B-07,3017148579,ANTONIOGALAN_2002@HOTMAIL.ES,,PRIVADA,RODOLFO RAFAEL RODRIGUEZ GONZALEZ,NO,,,,,,,,2020,11
58,3767,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL BOLÍVAR,7980,"FUNDACION NACIONAL PARA EL DESARROLLO TECNICO, TECNOLOGICO  Y COMUNITARIO DE COLOMBIA - FUNDETEC",01-587,8230049656,13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,,La Unión,Carretera Troncal Vía Sincelejo,3005182441,coordgeneral@fundetec.edu.co,www.fundetec.edu.co,PRIVADA,JOSE WALTERPARRADO CORREDOR,NO,,,,,,,,2020,11
59,3766,SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ,4083,FENALCO BOGOTA DIRECCION DE CAPACITACION,3755,860009161-9,11,BOGOTÁ D.C.,11001,BOGOTÁ,SANTA FE,GERMANIA,CARRERA 4  N 19-85,2971717,cmorales@fenalcobogota.com.co,,PRIVADA,MARTHA TRIVIÑO REYES,NO,,,,,,,,2020,11
60,4911,SECRETARÍA DE EDUCACIÓN DISTRITO SANTA MARTA,6415,ACADEMIA DE BELLEZA LA COSTA,1539,036527070-1,47,MAGDALENA,47001,SANTA MARTA,,CENTRO,CALLE 20 No. 5-80,4213921,erwind06@hotmail.com,,PRIVADA,DIANA DEL CARMEN JIMENEZ EGUIS,NO,,,,,,,,2020,11
61,3806,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PEREIRA,7051,IDIOMAS ACADEMIA,5606,900594982-0,66,RISARALDA,66001,PEREIRA,,POPULAR MODELO,CALLE 2 11B-07,3136786446,direccion@idiomasacademia.co,www.idiomasacademia.co,PRIVADA,ISABEL CRISTINAVALENCIA HENAO,NO,,,,,,,,2020,11
62,3766,SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ,9373,CENTRO DE ESTUDIO PAULO FREIRE,110401,901218119-3,11,BOGOTÁ D.C.,11001,BOGOTÁ,SUBA,VILLA HERMOSA,CARRERA 100 C No. 158-56,3103271326,centrodeestudios@freireedumail.com,,PRIVADA,YASMINANZOLA RINCON,NO,,,,,,,,2020,11
63,3735,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CUNDINAMARCA,4809,POLITECNICO ATENAS,007685,007685,25,CUNDINAMARCA,25297,GACHETÁ,,,CARRERA 5 No 5-31,8535166,politecnicoatenas@hotmail.com,,PRIVADA,ARMANDOSANCHEZ RAMIREZ,NO,,,,,,,,2020,11
64,3788,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE SOACHA,3959,FUNDACION SAN MATEO,513,832008253-1,25,CUNDINAMARCA,25754,SOACHA,,,CRA 7 No. 18 - 99,7814357,fsmsoacha@msn.com,,PRIVADA,CLAUDIA MARCELAGARCIA ZABALETA,NO,,,,,,,,2020,11
